Tape Size,Feeder Number,Component,XOffset,YOffset,Height,Speed,Head,Relative Tape Angle,Feed Spacing,Place Component,Check Vacuum,Use Vision,Centroid Correction X,Centroid Correction Y,Aliases,Used On
8mm,1,,0,0,0.5,0,1,0,4,Y,Y,Y,0,0,4.7u-C0805,
8mm,2,,0,0,0.5,0,1,0,4,Y,Y,Y,0,0,0.1u-C0603,
8mm,3,,0,0,0.5,0,1,0,4,Y,Y,Y,0,0,7.2p-C0603,
8mm,4,,0,0,0.5,0,1,0,4,Y,Y,Y,0,0,10u-C0805,
8mm,5,,0,0,0.5,0,1,0,4,Y,Y,Y,0,0,1500p-C0603,
8mm,6,,0,0,0.5,0,1,0,4,Y,Y,Y,0,0,47p-C0603,
8mm,7,,0,0,0.5,0,1,0,4,Y,Y,Y,0,0,220p-C0603,
8mm,8,,0,0,0.5,0,1,0,4,Y,Y,Y,0,0,2.2u-C0603,
8mm,9,,0,0,0.5,0,1,0,4,Y,Y,Y,0,0,10k-R0603,
8mm,10,,0,0,0.5,0,1,0,4,Y,Y,Y,0,0,37.4k-R0603,
8mm,11,,0,0,0.5,0,1,0,4,Y,Y,Y,0,0,76.8k-R0603,
8mm,12,,0,0,0.5,0,1,0,4,Y,Y,Y,0,0,8.45k-R0603,
8mm,13,,0,0,0.5,0,1,0,4,Y,Y,Y,0,0,13.7k-R0603,
8mm,14,,0,0,0.5,0,1,0,4,Y,Y,Y,0,0,348-R0603,
8mm,15,,0,0,0.5,0,1,0,4,Y,Y,Y,0,0,140k-R0603,
8mm,16,,0,0,0.5,0,1,0,4,Y,Y,Y,0,0,4.02k-R0603,
8mm,17,,0,0,0.5,0,1,0,4,Y,Y,Y,0,0,2.2-R0603,
8mm,18,,0,0,0.5,0,1,0,4,Y,Y,Y,0,0,47-R0603,
8mm,19,,0,0,0.5,0,1,0,4,Y,Y,Y,0,0,30.1k-R0603,
8mm,20,,0,0,0.5,0,1,0,4,Y,Y,Y,0,0,100-R0603,
8mm,21,,0,0,0.5,0,1,0,4,Y,Y,Y,0,0,909-R0603,
8mm,22,,0,0,0.5,0,2,0,4,Y,Y,Y,0,0,2.2u-IND,
12mm,23,,0,0,0.5,0,2,90,4,Y,Y,Y,0,0,AP62600SJ-7-IC_AP62600SJ-7,
12mm,24,,0,0,0.5,0,2,90,8,Y,Y,Y,0,0,LM5145RGYR-RGY0020B,
12mm,25,,0,0,0.5,0,2,90,8,Y,Y,Y,0,0,MAX3232EETE_T-QFN80P500X500X80-17N,
12mm,26,,0,0,0.5,0,2,90,8,Y,Y,Y,0,0,CSD17575Q3-TRANS_CSD17575Q3,
16mm,27,,0,0,0.5,0,1,0,0,Y,Y,Y,0,0,,
16mm,28,,0,0,0.5,0,1,0,0,Y,Y,Y,0,0,,
24mm,29,,0,0,0.5,0,1,0,0,Y,Y,Y,0,0,,
Stop,,Stop,,,,,,,,,,,,,,
